influencer_id,influencer_name,commission
196,luansantana,0.1
195,sonamkapoor,0.1
194,nancyajram,0.1
200,iambeckyg,0.1
199,gururandhawa,0.1
192,bmw,0.1
198,nickjonas,0.1
189,disney,0.1
188,adidasoriginals,0.1
191,khabib_nurmagomedov,0.1
184,lunamaya,0.1
193,zidane,0.1
190,shaymitchell,0.1
182,ivetesangalo,0.1
183,paollaoliveirareal,0.1
187,toni.kr8s,0.1
181,simoneses,0.1
197,danbilzerian,0.1
175,mercedesbenz,0.1
180,sachintendulkar,0.1
170,gisel_la,0.1
185,dannapaola,0.1
174,nattinatasha,0.1
168,laudyacynthiabella,0.1
176,tigerjackieshroff,0.1
177,barackobama,0.1
178,shahidkapoor,0.1
165,WesleySafadao,0.1
166,parineetichopra,0.1
171,eminem,0.1
162,worldstar,0.1
169,antogriezmann,0.1
167,cznburak,0.1
164,marvelstudios,0.1
158,hm,0.1
163,prattprattpratt,0.1
155,ruben_onsu,0.1
161,anushkasen0408,0.1
159,wizkhalifa,0.1
179,kimberly.loaiza,0.1
186,blakelively,0.1
173,colesprouse,0.1
157,chrissyteigen,0.1
154,natashawilona12,0.1
150,princessyahrini,0.1
151,liverpoolfc,0.1
149,andresiniesta8,0.1
152,teddysphotos,0.1
142,dior,0.1
145,marinaruybarbosa,0.1
148,ranveersingh,0.1
147,theweeknd,0.1
153,georginagio,0.1
139,britneyspears,0.1
138,kapilsharma,0.1
137,buzzfeedtasty,0.1
143,norafatehi,0.1
140,mariliamendoncacantora,0.1
132,nickyjam,0.1
136,caradelevingne,0.1
130,gusttavolima,0.1
135,brunamarquezine,0.1
129,maisa,0.1
134,varundvn,0.1
156,mahi7781,0.1
146,addisonraee,0.1
128,luissuarez9,0.1
133,jannatzubair29,0.1
125,nikefootball,0.1
131,hrithikroshan,0.1
124,natgeotravel,0.1
126,stephencurry30,0.1
127,vancityreynolds,0.1
141,badbunnypr,0.1
122,daddyyankee,0.1
114,5.min.crafts,0.1
119,larissamanoela,0.1
115,vanessahudgens,0.1
121,thenotoriousmma,0.1
144,jenniferaniston,0.1
113,nusr_et,0.1
112,jokowi,0.1
106,louisvuitton,0.1
105,gucci,0.1
120,haileybieber,0.1
109,garethbale11,0.1
107,prillylatuconsina96,0.1
102,krisjenner,0.1
123,travisscott,0.1
110,paulodybala,0.1
108,dovecameron,0.1
111,blackpinkofficial,0.1
97,hudabeauty,0.1
101,kritisanon,0.1
99,michelleobama,0.1
100,jamesrodriguez10,0.2
96,433,0.2
93,ayutingting92,0.2
172,rkive,0.2
103,lelepons,0.2
118,zayn,0.2
117,harrystyles,0.2
92,sergioramos,0.2
91,jbalvin,0.2
88,sunnyleone,0.2
83,juventus,0.2
94,dishapatani,0.2
95,mosalah,0.2
81,leonardodicaprio,0.2
85,tatawerneck,0.2
86,bellahadid,0.2
90,beingsalmankhan,0.2
89,ladygaga,0.2
104,charlidamelio,0.2
78,paulpogba,0.2
79,iamzlatanibrahimovic,0.2
76,karimbenzema,0.2
84,zacefron,0.2
98,adele,0.2
87,robertdowneyjr,0.2
75,marcelotwelve,0.2
80,karolg,0.2
74,9gag,0.2
77,chrishemsworth,0.2
160,j.m,0.2
72,manchesterunited,0.2
82,milliebobbybrown,0.2
73,whinderssonnunes,0.2
69,psg,0.2
71,anushkasharma,0.2
63,raffinagita1717,0.2
67,jacquelinef143,0.2
64,anitta,0.2
65,maluma,0.2
66,akshaykumar,0.2
60,marvel,0.2
62,willsmith,0.2
59,justintimberlake,0.2
61,camila_cabello,0.2
70,roses_are_rosie,0.2
58,katrinakaif,0.2
55,ronaldinho,0.2
68,sooyaaa__,0.2
49,nba,0.2
116,thv,0.2
56,emmawatson,0.2
54,aliaabhatt,0.2
52,deepikapadukone,0.2
57,bts.bighitofficial,0.2
47,nehakakkar,0.2
50,narendramodi,0.2
45,victoriassecret,0.2
48,shawnmendes,0.2
42,snoopdogg,0.2
51,jennierubyjane,0.2
53,tomholland2013,0.2
44,shraddhakapoor,0.2
46,k.mbappe,0.2
43,davidbeckham,0.3
40,shakira,0.3
41,gigihadid,0.3
39,nasa,0.3
37,priyankachopra,0.3
36,vindiesel,0.3
35,gal_gadot,0.3
34,dualipa,0.3
38,lalalalisa_m,0.3
32,fcbarcelona,0.3
31,chrisbrownofficial,0.3
33,billieeilish,0.3
30,champagnepapi,0.3
29,realmadrid,0.3
28,theellenshow,0.3
27,kingjames,0.3
25,ddlovato,0.3
26,badgalriri,0.3
24,iamcardib,0.3
22,kevinhart4real,0.3
23,zendaya,0.3
21,katyperry,0.3
19,mileycyrus,0.3
20,neymarjr,0.3
18,kourtneykardash,0.3
17,nickiminaj,0.3
16,virat.kohli,0.3
15,jlo,0.3
14,taylorswift,0.3
13,nike,0.5
12,natgeo,0.5
11,justinbieber,0.5
10,kendalljenner,0.5
9,khloekardashian,0.5
8,beyonce,0.5
7,arianagrande,0.5
6,kimkardashian,0.5
5,therock,0.5
4,selenagomez,0.5
3,leomessi,0.5
2,kyliejenner,0.5
1,cristiano,0.5
